@relation oborot_str
@attribute prevword string
@attribute nextword string
@attribute prevtag {'A','ADV','ANUM','APRO','CONJ','NUM','PART','PR','S','SPRO','UNKN','V'}
@attribute nexttag {'','A','ADV','ADVPRO','ANUM','APRO','CONJ','NUM','PART','PR','S','SPRO','UNKN','V'}
@attribute class {'1','2','3','4','5','6','7','8','9'}
@data
'такой','как','APRO','CONJ','6'
'на','ослиный','PR','A','4'
'на','рукоятка','PR','S','1'
'торговый','между','A','PR','8'
'по','движок','PR','S','1'
'внешнеторговый','млн','A','UNKN','7'
'полный','не','A','PART','1'
'московский','наркотик','A','S','8'
'за','а','PR','CONJ','1'
'тыс','неплохо','S','ADV','1'
'одинаковый','двигатель','A','S','1'
'средний','поступать','A','V','1'
'число','вокруг','S','PR','1'
'скорость','вагон','S','S','8'
'пушкиноведческий','стихия','A','S','2'
'полтора','и','NUM','CONJ','1'
'ретроспектива','скот','S','S','8'
'с','млрд','PR','S','7'
'серьезный','и','A','CONJ','3'
'полный','если','A','CONJ','1'
'культурный','российский','A','A','2'
'новый','новый','A','A','3'
'опухоль','отличаться','S','V','7'
'вот','характеризовать','PART','V','5'
'научный','','A','','2'
'и','для','CONJ','PR','5'
'евро','компания','S','S','7'
'пл','менее','UNKN','ADV','7'
'годичный','причем','A','CONJ','7'
'на','парить','PR','V','4'
'два','во','NUM','PR','1'
'автоматизация','и','S','CONJ','7'
'небольшой','отечественный','A','A','7'
'незаконный','наркотический','A','A','8'
'условие','оно','S','SPRO','8'
'финансовый','мочь','A','V','7'
'хозяйственный','в','A','PR','2'
'причастный','иван','A','S','5'
'три','три','NUM','NUM','1'
'спиваков','','S','','1'
'набирать','','V','','9'
'денежный','','A','','7'
'от','компания','PR','S','7'
'об','земля','PR','S','8'
'об','земля','PR','S','8'
'незаконный','наркотик','A','S','8'
'за','наркотический','PR','A','8'
'экономический','земля','A','S','2'
'незаконный','наркотический','A','A','8'
'честь','и','S','CONJ','7'
'в','','PR','','6'
'незаконный','наркотик','A','S','8'
'незаконный','наркотик','A','S','8'
'полный','и','A','CONJ','1'
'множество','вокруг','S','PR','1'
'малый','глохнуть','A','V','1'
'такой','дело','APRO','S','3'
'неожиданный','молчать','A','V','3'
'тюркский','культура','A','S','5'
'какой','мочь','APRO','V','3'
