text,class
"Я уже говорил, что раньше нам тоже приходилось получать двойки, и не раз, но никогда ещё наши ребята не брали нас с Костей в самом начале года в такой оборот, как в эту субботу. ",6
И на обороте Ослиной берёсты он тщательно нацарапал: ,4
"Для установки руля на требуемую высоту необходимо повернуть на 3-4 оборота рукоятку зажима (1), ослабив хомутик (5) на стержне вилки, установить руль (2) на требуемую высоту и вновь закрепить. ",1
"Его доля в общем объеме российского оружейного экспорта ― 40 процентов, а ежегодные доходы России от продажи вооружений ― 1 млрд долларов, что составляет почти пятую часть всего торгового оборота между Москвой и Пекином. ",8
"Была у меня форсированная шаха, с горки по прямой, при попутном ветре наверняка раскочегарил до 175 км / ч ― это как мне посчитали по оборотам движка (тахометр цифровой был) и передаточным числам. ",1
"Внешнеторговый оборот ―$ 2243 млн, в том числе экспорт ―$ 2062 млн, импорт ―$ 181 млн ",7
"Ракеты же с ядерным зарядом хотя и выводились в космос, но полного оборота не совершали. ",1
"По их же сведениям, азербайджанская диаспора сосредоточила в своих руках более 30 процентов московского оборота наркотиков и оружия. ",8
"А там приоритет отдан контролю за оборотами, а не скорости― красная зона с тахометра перекочевала на тахиметрическую шкалу часов. ",1
"Наилучшие тяговые характеристики этот мотор проявляет на отметке около 3 тыс. оборотов, неплохо тянет и на ""низах"". ",1
"Пониженная передача (передаточное число ― самое высокое среди одноклассников) позволяет при одинаковых оборотах двигателя увеличить величину крутящего момента, передаваемого на оси автомобиля, более чем в 3 раза. ",1
"На холостом ходу и на средних оборотах поступающий через каналы воздух отражается от днища поршня, которое имеет в середине выступ гребневидной конфигурации, в результате чего возникают тайфунообразные завихрения. ",1
"По нашим представлениям, возникновение резонанса в системе планета ― спутник― Солнце возможно при условии, когда за один период обращения Солнца вокруг собственной оси спутник делает целое число оборотов вокруг планеты ",1
"Увеличение протяжённости участков обращения до 700-900 км снижает потребность в локомотивах примерно на 15%, пропорционально растёт среднесуточный пробег, в среднем на 3― 3, 5 км/ ч повышаются маршрутная скорость, оборот вагонов, на 5-10% сокращаются капиталовложения. ",8
"сомнительное слово в пушкиноведческий оборот). Стихии как органические силы жизни , которым даёт язык поэзия. Вот вопрос понимания Пушкина: как оценить эти силы и роль их в ""порядке мира"" пушкинском, если вспомнить блоковское в его речи: ""Порядок мира тревожен, он― родное дитя беспорядка…"" 69? ",2
"Концы перевязочного шпагата крепят к кромке боковой царги стула толевыми гвоздями, для чего концы шпагата обвивают вокруг не до конца вбитых гвоздей на полтора оборота и закрепляют их, затем гвозди забивают до конца (рис. 24, б). Таким же образом крепят шпагаты к задней царге, располагая их по центру каждого ряда пружин. ",1
"Из таблицы 8, которая представляет ретроспективу оборота скота на сельском подворье в течение последних 10 лет, можно видеть следующее. ",8
"Сегодня владельцами MoneyGram являются Viad Corp. и Travelers Express Company Inc.― одна из крупнейших в мире процессинговых компаний, совершающая 775 млн. финансовых трансакций в год с оборотом 120 млрд. долларов США. ",7
"Дело принимало серьёзный оборот, и я как руководитель экспедиции обратился с просьбой к Степанову сходить вниз на поиск группы Евгения Очкина. ",3
"Какой путь s пройдёт груз, когда цилиндр сделает один полный оборот, если длина окружности цилиндра l? ",1
"Отсюда и нелёгкая задача, выпавшая на их долю, ― ввести в культурный оборот российского читателя проблематику и инструментарий этих систем, сломать сложившиеся европоцентристские стереотипы восприятия неевропейских традиций как чисто религиозных или мистических. ",2
Теперь события приняли новый оборот: новые методы нашли себе опору в старых. ,3
"Если оно и впрямь будет побеждать опухоли, оборот отличившейся фирмы достигнет, по оценке экспертов, миллиарда долларов в год. ",7
"""От этого может закружиться голова"" (ЗпОМ, I, 11); ""лёгкое опьянение мыслей"" (ЗпОМ, I, Приложение 1, 16) ― вот обороты, характеризующие тональность названных заметок. ",5
