prevword,nextword,prevtag,nexttag,class
in,rates,IN,NNS,6
declining,rates,VBG,NNS,6
short-term,rates,JJ,NNS,6
83.4,in,AB,IN,5
with,in,IN,IN,5
plus,.,CC,.,6
the,rate,DT,NN,6
own,prompted,JJ,VBD,4
and,is,CC,VBZ,6
its,to,PP,TO,5
strong,of,JJ,IN,1
if,rates,IN,NNS,6
in,rates,IN,NNS,6
in,rates,IN,NNS,6
accrued,to,VBN,TO,6
in,rates,IN,NNS,6
international,in,JJ,IN,1
u.s.,rates,NP,NNS,6
little,in,JJ,IN,1
short-term,rates,JJ,NNS,6
funds,rate,NNS,NN,6
higher,costs,JJR,NNS,6
business,{,NN,(,3
japanese,in,JJ,IN,1
controlling,in,VBG,IN,5
great,in,JJ,IN,1
35,or,AB,CC,5
the,rates,DT,NNS,6
annual,rates,JJ,NNS,6
semiannual,payment,JJ,NN,6
of,rate,IN,NN,6
in,rate,IN,NN,6
an,rate,DT,NN,6
fixed-rate,payments,JJ,NNS,6
as,rates,IN,NNS,6
growing,in,VBG,IN,1
with,rates,IN,NNS,6
the,on,DT,IN,6
important,on,JJ,IN,4
national,in,JJ,IN,4
regarding,rates,VBG,NNS,6
investor,was,NN,VBD,1
investor,was,NN,VBD,1
and,income,CC,NN,6
s,expense,POS,NN,6
his,in,PP,IN,1
20,in,AB,IN,5
unspecified,a,JJ,DT,3
cited,costs,VBD,NNS,6
in,rates,IN,NNS,6
family,for,NN,IN,5
in,rates,IN,NNS,6
short-term,rates,JJ,NNS,6
annual,rates,JJ,NNS,6
best,``,JJS,``,4
its,in,PP,IN,1
high,rates,JJ,NNS,6
other,,JJ,'',3
investor,and,NN,CC,1
domestic,rates,JJ,NNS,6
short-term,rates,JJ,NNS,6
market,rates,NN,NNS,6
has,in,VBZ,IN,5
of,coverage,IN,NN,6
lower,rates,JJR,NNS,6
bring,rates,VB,NNS,6
average,rate,JJ,NN,6
little,and,JJ,CC,1
quick,in,JJ,IN,1
higher,rates,JJR,NNS,6
timber,would,NN,MD,5
owed,to,VBD,TO,6
and,in,CC,IN,5
illegal,in,JJ,IN,5
ownership,in,NN,IN,5
its,rate,PP,NN,6
the,he,DT,PP,6
true,cost,JJ,NN,6
true,cost,JJ,NN,6
investors,on,NNS,IN,6
in,rates,IN,NNS,6
investor,in,NN,IN,1
``,is,``,VBZ,1
down,rates,RP,NNS,6
pay,monthly,VBP,RB,6
long-term,of,JJ,IN,4
with,in,IN,IN,5
growing,in,VBG,IN,1
much,in,JJ,IN,1
pay,only,VBP,RB,6
eases,rates,VBZ,NNS,6
of,rate,IN,NN,6
short-term,rates,JJ,NNS,6
u.s.,rates,NP,NNS,6
when,rates,WRB,NNS,6
u.s.,rates,NP,NNS,6
german,rates,JJ,NNS,6
u.s.,rates,NP,NNS,6
s,rate,POS,NN,6
and,rate,CC,NN,6
the,rate,DT,NN,6
an,rate,DT,NN,6
involving,rate,VBG,NN,6
an,rate,DT,NN,6
s,rate,POS,NN,6
s,rate,POS,NN,6
finding,from,VBG,IN,1
corporate,in,JJ,IN,1
eases,rates,VBZ,NNS,6
minority,surged,NN,VBD,5
minority,on,NN,IN,5
the,rate,DT,NN,6
for,rates,IN,NNS,6
of,in,IN,IN,3
net-profits,in,JJ,IN,5
an,rate,DT,NN,6
20,in,AB,IN,5
minority,but,NN,CC,5
million,in,AB,IN,5
,in,'',IN,1
has,in,VBZ,IN,5
has,in,VBZ,IN,5
own,are,JJ,VBP,3
lower,rates,VB,NNS,6
in,rate,IN,JJ,6
raised,rates,VBD,NNS,6
that,rates,IN,NNS,6
higher,rates,JJR,NNS,6
their,in,PP,IN,1
short-term,rates,JJ,NNS,6
growing,in,VBG,IN,1
lower,rates,JJR,NNS,6
an,in,DT,IN,1
his,.,PP,.,5
family,.,NN,.,5
buying,however,NN,RB,1
that,rates,IN,NNS,6
where,rates,WRB,NNS,6
international,rate,JJ,NN,6
foreign-investor,.,NN,.,1
annual,rate,JJ,NN,6
short-term,rates,JJ,NNS,6
the,rate,DT,NN,6
annual,payments,JJ,NNS,6
our,at,PP,IN,1
more,in,JJR,IN,1
