text,prevword,nextword,prevtag,nexttag,class
"Я уже говорил, что раньше нам тоже приходилось получать двойки, и не раз, но никогда ещё наши ребята не брали нас с Костей в самом начале года в такой оборот, как в эту субботу. ",такой,как,APRO,CONJ,6
И на обороте Ослиной берёсты он тщательно нацарапал: ,на,ослиный,PR,A,4
"Для установки руля на требуемую высоту необходимо повернуть на 3-4 оборота рукоятку зажима (1), ослабив хомутик (5) на стержне вилки, установить руль (2) на требуемую высоту и вновь закрепить. ",на,рукоятка,PR,S,1
"Его доля в общем объеме российского оружейного экспорта ― 40 процентов, а ежегодные доходы России от продажи вооружений ― 1 млрд долларов, что составляет почти пятую часть всего торгового оборота между Москвой и Пекином. ",торговый,между,A,PR,8
"Была у меня форсированная шаха, с горки по прямой, при попутном ветре наверняка раскочегарил до 175 км / ч ― это как мне посчитали по оборотам движка (тахометр цифровой был) и передаточным числам. ",по,движок,PR,S,1
"Внешнеторговый оборот ―$ 2243 млн, в том числе экспорт ―$ 2062 млн, импорт ―$ 181 млн ",внешнеторговый,млн,A,UNKN,7
"Ракеты же с ядерным зарядом хотя и выводились в космос, но полного оборота не совершали. ",полный,не,A,PART,1
"По их же сведениям, азербайджанская диаспора сосредоточила в своих руках более 30 процентов московского оборота наркотиков и оружия. ",московский,наркотик,A,S,8
"А там приоритет отдан контролю за оборотами, а не скорости― красная зона с тахометра перекочевала на тахиметрическую шкалу часов. ",за,а,PR,CONJ,1
"Наилучшие тяговые характеристики этот мотор проявляет на отметке около 3 тыс. оборотов, неплохо тянет и на ""низах"". ",тыс,неплохо,S,ADV,1
"Пониженная передача (передаточное число ― самое высокое среди одноклассников) позволяет при одинаковых оборотах двигателя увеличить величину крутящего момента, передаваемого на оси автомобиля, более чем в 3 раза. ",одинаковый,двигатель,A,S,1
"На холостом ходу и на средних оборотах поступающий через каналы воздух отражается от днища поршня, которое имеет в середине выступ гребневидной конфигурации, в результате чего возникают тайфунообразные завихрения. ",средний,поступать,A,V,1
